"","module","domain","process","subprocess","model","parameter","path","unit","default","version","note"
"49","carbon","sediment","vertical_movement","sedimentation","pclake","cVSetIM","parameters/cVSetIM","m*d^-1","1","1.0.0","Max_sedimentation_velocity_of_inert_org_matter_(10)"
"50","carbon","sediment","vertical_movement","sedimentation","pclake","cThetaSet","parameters/cThetaSet","1^[oC^-1]","1.01","1.0.0","Temp_parameter_of_sedimentation"
"51","macrophytes","sediment","growth","phenology","wet","cDaySumVegMin","{group_name}/parameters/cDaySumVegMin","day of the year","1","1","earliest start of growing season"
"52","carbon","sediment","water_sediment_exchange","resuspension","mylake","S_res_hypo","Bio.par/S_res_hypo","m d-1","3.63E-08","1.0.0","Particle resuspension mass transfer coefficient;  hypolimnion"
"53","carbon","sediment","water_sediment_exchange","resuspension","mylake","S_res_epi","Bio.par/S_res_epi","m d-1","3.63E-07","1.0.0","Particle resuspension mass transfer coefficient;  epilimnion"
"54","carbon","water","water_atmosphere_exchange","equation_options_alkalinity","aed2","alk_mode","aed2_carbon/alk_mode","(integer)","2","1.0.0","1: ; 2:"
"55","carbon","water","water_atmosphere_exchange","equation_options_co2","aed2","co2_model","aed2_carbon/co2_model","(integer)","1","1.0.0","1: ; 2:"
"56","carbon","sediment","water_sediment_exchange","resuspension","pclake","cSuspRef","parameters/cSuspRef","gDW*m^-2*d^-1","0.5","1.0.0","Reference_suspended_matter_function"
"57","carbon","sediment","water_sediment_exchange","resuspension","pclake","cSuspSlope","parameters/cSuspSlope","m","2.1","1.0.0","Slope_of_logistic_empirical_suspended_matter_function"
"58","carbon","water","water_atmosphere_exchange","equation_options_co2","aed2","co2_piston_model","aed2_carbon/co2_piston_model","(integer)","1","1.0.0","1: ; 2:"
"59","carbon","sediment","water_sediment_exchange","resuspension","pclake","cSuspMax","parameters/cSuspMax","-","25.2","1.0.0","Maximum_value_of_logistic_empirical_suspended_matter_function"
"60","macrophytes","sediment","growth","phenology","wet","cDayWinVeg","{group_name}/parameters/cDayWinVeg","day of the year","259","1","end of growing season"
"61","zoobenthos","sediment","migration","external_density","wet","cDBentIn","{group_name}/parameters/cDBentIn","gDW/m2","0.01","1","external density"
"62","zoobenthos","sediment","growth","carrying_capacity","wet","cDCarrBent","{group_name}/parameters/cDCarrBent","gDW/m2","10","1","carrying capacity"
"63","macrophytes","sediment","growth","growth","wet","cDCarrVeg","{group_name}/parameters/cDCarrVeg","gDW/m2","300","1","carrying capacity"
